Arch_Code,Archetype,Subtidal,Intertidal Mudflat,Low Marsh,Mid Marsh,High Marsh,Transition,Stop
1,Small creek,-1.05,1.41,1.51,1.79,2.46,3.46,5
2,Small lagoon,-1.05,1.28,1.67,1.95,2.62,3.62,5
3,Intermittently open estuary,-1.05,0.00,0.72,1.00,1.67,2.67,5
4,Large perenially-open lagoon,-1.05,0.00,0.72,1.00,1.67,2.67,5
5,Large river valley estuary,-1.05,0.00,0.72,1.00,1.67,2.67,5
6,Fragmented river valley estuary,-1.05,0.00,0.72,1.00,1.67,2.67,5
7,Open bay/harbor,-1.05,0.00,0.72,1.00,1.67,2.67,5
